918078627337703431,"b'RT @NAMICommunicate: Suicide is never the result of one cause, rather a combination of risk factors coming together. #SuicidePrevention htt\xe2\x80\xa6'"
917995586627960832,"b'@socworkpodcast @SophiaSmith222 @parislees If trans kid is supported by family, school etc suicide ideation falls a\xe2\x80\xa6 https://t.co/agQM6fqiHj'"
917994990348980225,b'@socworkpodcast @SophiaSmith222 @parislees Countless studies show effect of stigma on suicide ideation. If trans ki\xe2\x80\xa6 https://t.co/4pC8uy1X0E'
917962040442007552,"b""and... in context, yes, this does get at the objectification of workforces. but i absolutely don't mean to make light of suicide or ideation"""
917933464917127169,"b'I have attempted suicide multiple times, and ideation is practically as regular as morning coffee may be for you.'"
917924159878971392,"b""It's hard to explain both suicide &amp; ideation. It's not an actual desire to die, but both a fascination of the idea and desire to not suffer."""
917923093632385024,"b'suicidal ideation is thinking about, considering, or planning suicide'"
917917318537101312,"b""I'm a hypocrite in persuading others to eschew suicidal ideation, when my life is basically a protracted postponement of ineluctable suicide"""
917912766916075521,"b""@_knutaf It's fantasy for every suicide-as-revenge ideation ever. It's a grossly irresponsible thing to make TV out\xe2\x80\xa6 https://t.co/Ytxu5BOOjd"""
917912173891989504,"b'RT @graythegriot: I battle major depression, anxiety &amp; suicide ideation but something within keeps me fighting. I want you to fight too!#Wo\xe2\x80\xa6'"
917910824865488896,"b'When I was in high school I frequented the hospital because I was struggling with depression, suicide ideation, self harm, and panic attacks'"
917886191839645697,b'RT @lemniscamythest: #WorldMentalHealthDay I have had OCD since childhood. I live w/ suicide ideation and the MH struggles that come from c\xe2\x80\xa6'
917874792786726912,b'RT @bhminfo: This study examines the relationship between racial and gender discrimination and suicidal ideation https://t.co/89R9v9pjiO'
917872348128206848,b'@LaLaRueFrench75 @doritmi @EmmaGPaley @miche371 @DumpTrump7 @nicolasDenver @regina1775 @tongodeon @borgmanjj\xe2\x80\xa6 https://t.co/a5IhHgWhvY'
917871105506869250,"b""RT @mshcherbatskaya: (TW: Suicide) Re: #WorldMentalHealthDay, I thought I'd say a little something about suicidal ideation. Mute or ignore\xe2\x80\xa6"""
917860391799025664,"b""(TW: Suicide) Re: #WorldMentalHealthDay, I thought I'd say a little something about suicidal ideation. Mute or ignore as you please."""
917860149343215616,"b""@marinashutup @TrevorProject I don't have suicide ideation. My depression stems from my anxiety about my own mortal\xe2\x80\xa6 https://t.co/2svi4r0osv"""
917849984912965633,"b'ive experienced depression, anxiety, and suicide ideation since i was 16'"
917848239705006080,b'Increasing my suicide ideation from almost nothing to a near daily basis; I blamed myself for the negative experience the whole time.'
917842296443424768,"b""When you're 30hrs into an essay on a psych symptom and you have to change the topic...Only option is to change topic to suicide ideation. \xf0\x9f\x98\xa9"""
917837259507867648,"b""RT @RealDorianDawes: #MentalHealthAwarenessDay Suicide ideation sucks, but you're not alone. You can make it. It might go away someday, but\xe2\x80\xa6"""
917836419170750464,"b""RT @RealDorianDawes: #MentalHealthAwarenessDay Suicide ideation sucks, but you're not alone. You can make it. It might go away someday, but\xe2\x80\xa6"""
917835902033915904,"b""RT @RealDorianDawes: #MentalHealthAwarenessDay Suicide ideation sucks, but you're not alone. You can make it. It might go away someday, but\xe2\x80\xa6"""
917832418983337987,"b'For context: I was a postgrad student, he was staff. My thesis was on suicide (from personal experience of suicide ideation + attempt)'"
917831421418336256,"b""RT @RealDorianDawes: #MentalHealthAwarenessDay Suicide ideation sucks, but you're not alone. You can make it. It might go away someday, but\xe2\x80\xa6"""
917830639705120768,"b""RT @RealDorianDawes: #MentalHealthAwarenessDay Suicide ideation sucks, but you're not alone. You can make it. It might go away someday, but\xe2\x80\xa6"""
917830023574446081,"b""RT @RealDorianDawes: #MentalHealthAwarenessDay Suicide ideation sucks, but you're not alone. You can make it. It might go away someday, but\xe2\x80\xa6"""
917829264917106688,"b""#MentalHealthAwarenessDay Suicide ideation sucks, but you're not alone. You can make it. It might go away someday, but it might not."""
917828402543058944,"b'Advice from Pieta House, Preventing Suicide and Self Harm on parenting through mental health... https://t.co/EzZK76ZXUM'"
917821296905293824,b'RT @Paulaminger1: POST 9/11 vets Claim Suicidal Ideation. Less likely to commit suicide. The term is often used to get attention. https://t\xe2\x80\xa6'
917818593768742912,"b'I battle major depression, anxiety &amp; suicide ideation but something within keeps me fighting. I want you to fight t\xe2\x80\xa6 https://t.co/v9fbEjgQM3'"
917799128825970689,b'I am a suicidal person telling other people experiencing suicidal ideation that suicide is not the answer.'
